Date,Price,Open,High,Low,Vol.,Change %
8/26/2018,23.2,23.14,23.65,22.87,0.87K,1.62%
8/19/2018,22.83,20.14,22.68,20.14,2.06K,13.92%
8/12/2018,20.04,19.81,20.09,19.81,0.77K,1.57%
8/5/2018,19.73,19.73,19.73,19.73,0.06K,1.02%
7/29/2018,19.53,19.62,19.62,19.56,0.29K,2.30%
7/22/2018,19.09,19.16,19.16,19.16,1.75K,1.70%
7/15/2018,18.77,18.77,18.77,18.77,0.30K,6.11%
7/8/2018,17.69,17.69,17.69,17.69,74.60K,2.37%
7/1/2018,17.28,17.28,17.28,17.28,0.00K,4.66%
6/24/2018,16.51,16.51,16.51,16.51,0.07K,-0.60%
6/17/2018,16.61,16.61,16.61,16.61,0.50K,3.94%
6/10/2018,15.98,15.98,15.98,15.98,0.05K,-7.09%
6/3/2018,17.2,17.2,17.2,17.2,0.00K,3.93%
5/27/2018,16.55,16.55,16.55,16.55,0.07K,-3.61%
5/20/2018,17.17,17.17,17.17,17.17,0.07K,4.82%
5/13/2018,16.38,16.39,16.39,16.39,0.01K,4.46%
5/6/2018,15.68,15.68,15.68,15.68,0.01K,11.68%
4/29/2018,14.04,14.04,14.04,14.04,0.00K,-3.70%
4/22/2018,14.58,14.58,14.58,14.58,0.11K,3.99%
4/15/2018,14.02,14.02,14.02,14.02,0.31K,-5.53%
4/8/2018,14.84,14.84,14.84,14.84,118.58K,7.85%
4/1/2018,13.76,13.76,13.76,13.76,83.76K,-1.99%
3/25/2018,14.04,14.04,14.04,14.04,7.00K,6.12%
3/18/2018,13.23,13.23,13.23,13.23,1.06K,12.79%
3/11/2018,11.73,11.73,11.73,11.73,0.10K,-0.51%
3/4/2018,11.79,11.79,11.79,11.79,0.86K,9.47%
2/25/2018,10.77,10.77,10.77,10.77,1.87K,3.26%
