date,carbon_price,carbon_price_change_pct,gas_price_weekly,gas_price_lag1,vix,co2_ppm,co2_change,days_to_next_cop,is_cop_week,regime,recent_volatility,momentum_4w,momentum_12w,gas_price_volatility,cop_urgency
2023-01-15,82.6,6.994818652849721,3.46,3.65,20.16399993896484,419.17,-0.0953357008365629,319,0,2,6.408444166654799,-4.893494530800235,1.7116118704592953,14.574550698398633,0.0
2023-01-22,86.94,5.254237288135588,3.17,3.46,20.017500400543213,419.73,0.1335973471384033,312,0,2,6.22202732075504,9.496221662468507,13.855421686746983,14.229024861332137,0.0
2023-01-29,90.9,4.554865424430643,3.08,3.17,19.06599998474121,419.81,0.0190598718223578,305,0,2,6.25684884801569,20.317670416942434,19.857594936708868,3.2402910312471223,0.0
2023-02-05,90.44,-0.5060506050605151,2.64,3.08,18.85400009155273,420.2,0.0928991686715452,298,0,2,6.003572160770688,17.1502590673575,24.796467503794673,4.955971268890582,0.0
2023-02-12,93.33,3.195488721804507,2.34,2.64,19.79199981689453,420.81,0.1451689671585043,291,0,2,5.615415826741886,12.990314769975786,18.184120552108386,4.887922591479924,0.0
2023-02-19,94.79,1.5643415836279928,2.41,2.34,19.53400001525879,419.58,-0.2922934340913952,284,0,2,4.685481905388221,9.029215550954683,7.740395544441925,7.909884180916717,0.0
2023-02-26,89.27,-5.823399092731307,2.18,2.41,21.99250030517578,421.56,0.471900471900466,277,0,2,5.052448720870859,-1.7931793179318034,1.7553858429271596,7.615964569844904,0.0
2023-03-05,96.83,8.468690489526164,2.6,2.18,20.062000274658203,421.21,-0.0830249549293116,270,0,2,5.3089971306130375,7.065457762052185,15.714627151051609,14.140789331900216,0.0
2023-03-12,85.57,-11.628627491479914,2.48,2.6,20.944000244140625,420.21,-0.2374112675387563,263,0,2,6.416295108701236,-8.31458266366657,-1.4738054116292476,12.597810578572947,0.0
2023-03-19,85.4,-0.1986677573915907,2.47,2.48,24.977999877929687,420.78,0.1356464624830522,256,0,2,5.817701869087099,-9.906108239265743,7.5566750629722845,12.625283225073215,0.0
2023-03-26,91.75,7.435597189695553,2.06,2.47,22.42799987792969,421.69,0.216265031607965,249,0,2,5.820378103352387,2.778088943654078,21.4427531436135,14.908562242130438,0.0
2023-04-02,96.75,5.449591280653943,2.01,2.06,19.48200035095215,422.75,0.2513694894353602,242,0,2,5.915966075440039,-0.08261902303005053,25.32383419689119,7.26517677518507,0.0
2023-04-09,94.11,-2.72868217054264,2.14,2.01,18.75749969482422,422.96,0.0496747486694149,235,0,2,5.844590574087628,9.980133224260857,13.934624697336574,9.685291537914804,0.0
